Ano;Mês;Data;Distrito;Concelho;Freguesia;Nível de Tensão;Energia Ativa (kWh);CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024;02;2024-02;VILA REAL;Vila Real;UF BORBELA E LAMAS DE OLO;Baixa Tensão;173386.974;17;1714;171432
2024;02;2024-02;VISEU;Moimenta da Beira;ALVITE;Baixa Tensão;65781.629;18;1807;180702
2024;01;2024-01;BEJA;Moura;AMARELEJA;Baixa Tensão;466142.176;02;0210;021001
2024;01;2024-01;BRAGA;Vila Verde;UF CARREIRAS;Baixa Tensão;131224.273;03;0313;031361
2024;01;2024-01;CASTELO BRANCO;Proença-a-Nova;UF SOBREIRA FORMOSA ALVT BEIRA;Baixa Tensão;378290.541;05;0508;050808
2024;01;2024-01;GUARDA;Celorico da Beira;VALE DE AZARES;Muito Alta, Alta e Média Tensões;44069.129;09;0903;090318
2024;01;2024-01;VISEU;Mortágua;PALA;Muito Alta, Alta e Média Tensões;23040.969;18;1808;180807
2024;01;2024-01;VISEU;Tabuaço;UF PARADELA E GRANJINHA;Baixa Tensão;9275.809;18;1819;181919
2024;02;2024-02;BRAGA;Braga;UF MERELIM PANOIAS E P TIBAES;Baixa Tensão;307744.547;03;0303;030374
2024;02;2024-02;BRAGA;Vieira do Minho;TABUACAS;Muito Alta, Alta e Média Tensões;60159.838;03;0311;031118
2024;02;2024-02;SETUBAL;Grândola;AZINHEIRA BARROS MAMEDE SADAO;Baixa Tensão;53767.887;15;1505;150501
2024;01;2024-01;AVEIRO;Oliveira de Azeméis;UF P BEMPOSTA TRAVANCA PALMAZ;Baixa Tensão;1057393.39;01;0113;011322
2024;01;2024-01;BEJA;Beja;BALEIZAO;Baixa Tensão;200414.463;02;0205;020502
2024;01;2024-01;BRAGA;Cabeceiras de Basto;CAVEZ;Muito Alta, Alta e Média Tensões;58509.097;03;0304;030407
2024;01;2024-01;CASTELO BRANCO;Sertã;SERTA;Baixa Tensão;1687016.61;05;0509;050912
2024;01;2024-01;LISBOA;Lisboa;CAMPOLIDE;Baixa Tensão;3916220.399;11;1106;110610
2024;01;2024-01;LISBOA;Lisboa;SANTA CLARA;Muito Alta, Alta e Média Tensões;473550.387;11;1106;110664
2024;01;2024-01;SANTAREM;Rio Maior;ARROUQUELAS;Baixa Tensão;136719.397;14;1414;141402
2024;01;2024-01;SETUBAL;Sesimbra;SESIMBRA (SANTIAGO);Baixa Tensão;1282624.032;15;1511;151102
2024;01;2024-01;VIANA DO CASTELO;Melgaço;PENSO;Muito Alta, Alta e Média Tensões;88334.097;16;1603;160313
2024;01;2024-01;VILA REAL;Vila Pouca de Aguiar;VILA POUCA DE AGUIAR;Muito Alta, Alta e Média Tensões;141085.13;17;1713;171314
2024;02;2024-02;AVEIRO;Estarreja;PARDILHO;Baixa Tensão;253740.933;01;0108;010805
2024;02;2024-02;BRAGA;Barcelos;VILA SECA;Baixa Tensão;109317.928;03;0302;030287
2024;02;2024-02;BRAGA;Vila Nova de Famalicão;JOANE;Baixa Tensão;478916.207;03;0312;031219
2024;02;2024-02;GUARDA;Almeida;VALE DA MULA;Baixa Tensão;12027.943;09;0902;090227
2024;02;2024-02;LISBOA;Azambuja;AVEIRAS DE BAIXO;Muito Alta, Alta e Média Tensões;704904.913;11;1103;110302
2024;02;2024-02;PORTO;Amarante;GONDAR;Muito Alta, Alta e Média Tensões;33347.513;13;1301;130117
2024;02;2024-02;VILA REAL;Sabrosa;UF PROVESENDE G DOURO SC DOURO;Muito Alta, Alta e Média Tensões;27320.71;17;1710;171016
2024;01;2024-01;BRAGANCA;Vila Flor;UF VILA FLOR E NABO;Muito Alta, Alta e Média Tensões;93659.854;04;0410;041023
2024;01;2024-01;COIMBRA;Cantanhede;UF VILAMAR CORTICEIRO CIMA;Baixa Tensão;297716.417;06;0602;060224
2024;01;2024-01;GUARDA;Sabugal;VALE DE ESPINHO;Baixa Tensão;62362.418;09;0911;091136
2024;01;2024-01;BEJA;Odemira;BOAVISTA DOS PINHEIROS;Baixa Tensão;350424.009;02;0211;021116
2024;01;2024-01;BRAGA;Barcelos;CAMBESES;Muito Alta, Alta e Média Tensões;15820.453;03;0302;030216
2024;01;2024-01;BRAGA;Póvoa de Lanhoso;UF FONTE ARCADA E OLIVEIRA;Muito Alta, Alta e Média Tensões;442117.388;03;0309;030934
2024;01;2024-01;BRAGANCA;Macedo de Cavaleiros;UF ALA E VILARINHO DO MONTE;Baixa Tensão;90168.655;04;0405;040539
2024;01;2024-01;CASTELO BRANCO;Covilhã;PAUL;Muito Alta, Alta e Média Tensões;61881.514;05;0503;050314
2024;01;2024-01;LEIRIA;Batalha;BATALHA;Baixa Tensão;2233555.952;10;1004;100401
2024;01;2024-01;PORTALEGRE;Fronteira;FRONTEIRA;Baixa Tensão;565207.293;12;1208;120802
2024;01;2024-01;SANTAREM;Ourém;URQUEIRA;Muito Alta, Alta e Média Tensões;273503.613;14;1421;142114
2024;01;2024-01;SANTAREM;Tomar;OLALHAS;Baixa Tensão;253942.488;14;1418;141808
2024;01;2024-01;VILA REAL;Vila Real;FOLHADELA;Baixa Tensão;418239.883;17;1714;171409
2024;01;2024-01;VILA REAL;Vila Real;UF CONSTANTIM VALE NOGUEIRAS;Baixa Tensão;764107.475;17;1714;171433
2024;01;2024-01;VISEU;Moimenta da Beira;BALDOS;Baixa Tensão;30924.358;18;1807;180705
2024;02;2024-02;BEJA;Ferreira do Alentejo;UF FERREIRA ALENTEJO CANHESTRO;Muito Alta, Alta e Média Tensões;677508.592;02;0208;020808
2024;02;2024-02;GUARDA;Pinhel;VASCOVEIRO;Baixa Tensão;10365.182;09;0910;091027
2024;02;2024-02;GUARDA;Sabugal;BARACAL;Baixa Tensão;11026.719;09;0911;091109
2024;02;2024-02;PORTALEGRE;Sousel;CANO;Muito Alta, Alta e Média Tensões;7792.484;12;1215;121501
2024;02;2024-02;VISEU;Carregal do Sal;BEIJOS;Baixa Tensão;52974.617;18;1802;180201
2024;02;2024-02;VISEU;Moimenta da Beira;LEOMIL;Baixa Tensão;98195.547;18;1807;180709
2024;01;2024-01;AVEIRO;Anadia;UF A DA GANDARA BAIRRO E ANCAS;Baixa Tensão;497686.323;01;0103;010316
2024;01;2024-01;BEJA;Vidigueira;VILA DE FRADES;Muito Alta, Alta e Média Tensões;14358.195;02;0214;021404
2024;01;2024-01;SANTAREM;Santarém;MOCARRIA;Baixa Tensão;214732.051;14;1416;141613
2024;01;2024-01;VILA REAL;Ribeira de Pena;UF CERVA E LIMOES;Baixa Tensão;388480.22;17;1709;170908
2024;02;2024-02;PORTO;Baião;SANTA MARINHA DO ZEZERE;Muito Alta, Alta e Média Tensões;13562.805;13;1302;130215
2024;02;2024-02;PORTO;Maia;MOREIRA;Muito Alta, Alta e Média Tensões;2331538.061;13;1306;130609
2024;02;2024-02;VIANA DO CASTELO;Ponte de Lima;SA;Baixa Tensão;24197.418;16;1607;160740
2024;02;2024-02;VISEU;Sernancelhe;ARNAS;Baixa Tensão;9370.266;18;1818;181801
2024;01;2024-01;BEJA;Moura;UF SAFARA S ALEIXO RESTAURACAO;Baixa Tensão;317636.124;02;0210;021010
2024;01;2024-01;LEIRIA;Alcobaça;UF PATAIAS E MARTINGANCA;Muito Alta, Alta e Média Tensões;3374515.143;10;1001;100123
2024;01;2024-01;LEIRIA;Bombarral;UF BOMBARRAL E VALE COVO;Muito Alta, Alta e Média Tensões;705431.762;10;1005;100506
2024;01;2024-01;PORTO;Amarante;UF BUSTELO CARNEIRO E CARV REI;Baixa Tensão;98294.209;13;1301;130143
2024;01;2024-01;VIANA DO CASTELO;Arcos de Valdevez;COUTO;Baixa Tensão;124881.159;16;1601;160109
2024;01;2024-01;VILA REAL;Boticas;ALTURAS DO BARROSO E CERDEDO;Baixa Tensão;60929.135;17;1702;170217
2024;01;2024-01;VILA REAL;Valpaços;RIO TORTO;Baixa Tensão;41103.841;17;1712;171217
2024;02;2024-02;BRAGA;Barcelos;CARVALHAS;Baixa Tensão;36319.441;03;0302;030221
2024;02;2024-02;BRAGA;Vieira do Minho;UF CANICADA E SOENGAS;Muito Alta, Alta e Média Tensões;6414.388;03;0311;031124
2024;02;2024-02;FARO;Lagos;SAO GONCALO DE LAGOS;Baixa Tensão;2783424.653;08;0807;080708
2024;02;2024-02;LEIRIA;Figueiró dos Vinhos;CAMPELO;Baixa Tensão;15457.997;10;1008;100803
2024;02;2024-02;PORTO;Porto;PARANHOS;Muito Alta, Alta e Média Tensões;3404012.382;13;1312;131210
2024;02;2024-02;PORTO;Porto;UF LORDELO OURO MASSARELOS;Baixa Tensão;3146621.691;13;1312;131218
2024;02;2024-02;SETUBAL;Palmela;PINHAL NOVO;Muito Alta, Alta e Média Tensões;803589.98;15;1508;150803
2024;01;2024-01;AVEIRO;Ílhavo;GAFANHA DA NAZARE;Muito Alta, Alta e Média Tensões;5952499.385;01;0110;011006
2024;01;2024-01;COIMBRA;Oliveira do Hospital;UF LAGOS DA BEIRA E LAJEOSA;Baixa Tensão;239370.146;06;0611;061123
2024;01;2024-01;GUARDA;Manteigas;MANTEIGAS (SAO PEDRO);Baixa Tensão;348501.926;09;0908;090803
