Ano;Mês;data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia;Contrato Ativo
2024;1;2024-01;Leiria;Bombarral;União das freguesias do Bombarral e Vale Covo;SIM;4317;10;1005;100506;SIM
2024;1;2024-01;Leiria;Caldas da Rainha;Landal;NÃO;120;10;1006;100607;SIM
2024;1;2024-01;Leiria;Leiria;Coimbrão;NÃO;1199;10;1009;100909;SIM
2024;1;2024-01;Leiria;Leiria;União das freguesias de Monte Real e Carvide;NÃO;102;10;1009;100935;SIM
2024;1;2024-01;Lisboa;Azambuja;Azambuja;SIM;4443;11;1103;110304;SIM
2024;1;2024-01;Lisboa;Lisboa;Benfica;NÃO;1787;11;1106;110608;SIM
2024;1;2024-01;Lisboa;Lisboa;Campolide;SIM;9580;11;1106;110610;SIM
2024;1;2024-01;Lisboa;Lisboa;Carnide;SIM;9722;11;1106;110611;SIM
2024;1;2024-01;Lisboa;Lisboa;Alvalade;NÃO;1248;11;1106;110654;SIM
2024;1;2024-01;Lisboa;Lisboa;Arroios;SIM;25838;11;1106;110656;SIM
2024;1;2024-01;Lisboa;Loures;União das freguesias de Santo António dos Cavaleiros e Frielas;NÃO;5550;11;1107;110730;SIM
2024;1;2024-01;Lisboa;Mafra;União das freguesias de Igreja Nova e Cheleiros;SIM;982;11;1109;110920;SIM
2024;1;2024-01;Lisboa;Torres Vedras;União das freguesias de Campelos e Outeiro da Cabeça;SIM;1187;11;1113;111322;SIM
2024;1;2024-01;Lisboa;Odivelas;União das freguesias de Póvoa de Santo Adrião e Olival Basto;NÃO;340;11;1116;111609;SIM
2024;1;2024-01;Portalegre;Avis;Ervedal;NÃO;27;12;1203;120305;SIM
2024;1;2024-01;Portalegre;Nisa;União das freguesias de Arez e Amieira do Tejo;NÃO;199;12;1212;121211;SIM
2024;1;2024-01;Porto;Amarante;Fregim;NÃO;66;13;1301;130112;SIM
2024;1;2024-01;Porto;Amarante;Salvador do Monte;NÃO;367;13;1301;130129;SIM
2024;1;2024-01;Porto;Amarante;União das freguesias de Figueiró (Santiago e Santa Cristina);SIM;788;13;1301;130144;SIM
2024;1;2024-01;Porto;Felgueiras;Regilde;NÃO;310;13;1303;130318;SIM
2024;1;2024-01;Porto;Lousada;Aveleda;NÃO;97;13;1305;130502;SIM
2024;1;2024-01;Porto;Marco de Canaveses;Vila Boa de Quires e Maureles;NÃO;1013;13;1307;130741;SIM
2024;1;2024-01;Porto;Porto;Bonfim;NÃO;842;13;1312;131202;SIM
2024;1;2024-01;Porto;Póvoa de Varzim;União das freguesias de Aver-o-Mar, Amorim e Terroso;NÃO;1090;13;1313;131313;SIM
2024;1;2024-01;Porto;Vila do Conde;Modivas;SIM;841;13;1316;131617;SIM
2024;1;2024-01;Santarém;Coruche;Santana do Mato;SIM;471;14;1409;140908;SIM
2024;1;2024-01;Santarém;Santarém;Almoster;NÃO;572;14;1416;141606;SIM
2024;1;2024-01;Santarém;Santarém;União das freguesias de São Vicente do Paul e Vale de Figueira;NÃO;1073;14;1416;141634;SIM
2024;1;2024-01;Santarém;Ourém;Nossa Senhora da Piedade;NÃO;396;14;1421;142115;SIM
2024;1;2024-01;Setúbal;Alcácer do Sal;Comporta;NÃO;79;15;1501;150106;SIM
2024;1;2024-01;Setúbal;Almada;União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas;NÃO;823;15;1503;150312;SIM
2024;1;2024-01;Setúbal;Grândola;Azinheira dos Barros e São Mamede do Sádão;SIM;425;15;1505;150501;SIM
2024;1;2024-01;Setúbal;Moita;União das freguesias de Baixa da Banheira e Vale da Amoreira;SIM;14701;15;1506;150607;SIM
2024;1;2024-01;Viana do Castelo;Arcos de Valdevez;Sabadim;SIM;299;16;1601;160133;SIM
2024;1;2024-01;Viana do Castelo;Arcos de Valdevez;União das freguesias de Guilhadeses e Santar;SIM;388;16;1601;160157;SIM
2024;1;2024-01;Viana do Castelo;Monção;Bela;SIM;376;16;1604;160406;SIM
2024;1;2024-01;Viana do Castelo;Monção;Trute;NÃO;7;16;1604;160431;SIM
2024;1;2024-01;Viana do Castelo;Monção;União das freguesias de Monção e Troviscoso;SIM;2688;16;1604;160438;SIM
2024;1;2024-01;Viana do Castelo;Paredes de Coura;Romarigães;SIM;76;16;1605;160519;SIM
2024;1;2024-01;Viana do Castelo;Ponte de Lima;Vitorino das Donas;NÃO;48;16;1607;160750;SIM
2024;1;2024-01;Viana do Castelo;Ponte de Lima;Ardegão, Freixo e Mato;NÃO;64;16;1607;160753;SIM
2024;1;2024-01;Viana do Castelo;Viana do Castelo;Chafé;NÃO;84;16;1609;160940;SIM
2024;1;2024-01;Viana do Castelo;Viana do Castelo;União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;SIM;652;16;1609;160943;SIM
2024;1;2024-01;Vila Real;Mondim de Basto;União das freguesias de Campanhó e Paradança;NÃO;69;17;1705;170509;SIM
2024;1;2024-01;Vila Real;Montalegre;União das freguesias de Vilar de Perdizes e Meixide;SIM;248;17;1706;170643;SIM
2024;1;2024-01;Vila Real;Valpaços;Rio Torto;NÃO;179;17;1712;171217;SIM
2024;1;2024-01;Vila Real;Vila Pouca de Aguiar;Bornes de Aguiar;SIM;1365;17;1713;171303;SIM
2024;1;2024-01;Vila Real;Vila Real;União das freguesias de Borbela e Lamas de Olo;SIM;1345;17;1714;171432;SIM
2024;1;2024-01;Viseu;Armamar;União das freguesias de Vila Seca e Santo Adrião;SIM;292;18;1801;180123;SIM
2024;1;2024-01;Viseu;Castro daire;São Joaninho;NÃO;50;18;1803;180322;SIM
2024;1;2024-01;Viseu;Lamego;Ferreirim;SIM;673;18;1805;180507;SIM
2024;1;2024-01;Viseu;Mangualde;Fornos de Maceira Dão;SIM;880;18;1806;180607;SIM
2024;1;2024-01;Viseu;Mangualde;União das freguesias de Santiago de Cassurrães e Póvoa de Cervães;SIM;887;18;1806;180621;SIM
2024;1;2024-01;Viseu;Moimenta da Beira;Vila da Rua;SIM;198;18;1807;180716;SIM
2024;1;2024-01;Viseu;Mortágua;Pala;SIM;518;18;1808;180807;SIM
2024;1;2024-01;Viseu;Mortágua;União das freguesias de Mortágua, Vale de Remígio, Cortegaça e Almaça;NÃO;243;18;1808;180811;SIM
2024;1;2024-01;Viseu;São João da Pesqueira;Ervedosa do Douro;SIM;736;18;1815;181502;SIM
2024;1;2024-01;Viseu;São João da Pesqueira;Paredes da Beira;SIM;181;18;1815;181505;SIM
2024;1;2024-01;Viseu;Sernancelhe;União das freguesias de Sernancelhe e Sarzeda;NÃO;223;18;1818;181821;SIM
2024;2;2024-02;Aveiro;Águeda;União das freguesias de Trofa, Segadães e Lamas do Vouga;NÃO;127;01;0101;010126;SIM
2024;2;2024-02;Aveiro;Aveiro;Eixo e Eirol;SIM;3070;01;0105;010515;SIM
2024;2;2024-02;Aveiro;Aveiro;União das freguesias de Glória e Vera Cruz;SIM;18070;01;0105;010517;SIM
2024;2;2024-02;Aveiro;Castelo de Paiva;Real;SIM;433;01;0106;010606;SIM
2024;2;2024-02;Aveiro;Castelo de Paiva;Santa Maria de Sardoura;SIM;965;01;0106;010607;SIM
2024;2;2024-02;Aveiro;Santa Maria da Feira;Paços de Brandão;NÃO;610;01;0109;010919;SIM
2024;2;2024-02;Aveiro;Murtosa;Bunheiro;NÃO;85;01;0112;011201;SIM
2024;2;2024-02;Aveiro;Oliveira de Azeméis;Carregosa;NÃO;1385;01;0113;011301;SIM
2024;2;2024-02;Aveiro;Oliveira do Bairro;Oiã;NÃO;497;01;0114;011403;SIM
2024;2;2024-02;Aveiro;Sever do Vouga;Couto de Esteves;SIM;501;01;0117;011702;SIM
2024;2;2024-02;Beja;Almodôvar;União das freguesias de Almodôvar e Graça dos Padrões;SIM;2787;02;0202;020209;SIM
2024;2;2024-02;Beja;Alvito;Alvito;NÃO;73;02;0203;020301;SIM
2024;2;2024-02;Braga;Barcelos;Areias;NÃO;82;03;0302;030210;SIM
2024;2;2024-02;Braga;Barcelos;Carvalhal;NÃO;38;03;0302;030220;SIM
2024;2;2024-02;Braga;Barcelos;União das freguesias de Areias de Vilar e Encourados;SIM;389;03;0302;030292;SIM
2024;2;2024-02;Braga;Braga;União das freguesias de Braga (São José de São Lázaro e São João do Souto);SIM;10624;03;0303;030365;SIM
2024;2;2024-02;Braga;Guimarães;Urgezes;SIM;3053;03;0308;030871;SIM
